Kód;Množství;Kurz;Platnost od;Platnost do;Min.platnost;
AUD;1;17,529;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
BGN;1;13,339;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
BRL;1;6,948;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
CAD;1;17,755;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
CNY;1;3,307;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
DKK;1;3,506;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
EUR;1;26,090;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
GBP;1;29,437;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
HKD;1;2,786;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
HRK;1;3,486;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
HUF;100;8,462;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
CHF;1;22,626;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
IDR;1000;1,636;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
ILS;1;6,204;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
INR;100;33,805;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
JPY;100;19,529;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
KRW;100;1,928;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
MXN;1;1,224;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
MYR;1;5,190;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
NOK;1;2,792;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
NZD;1;16,035;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
PHP;100;42,705;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
PLN;1;6,099;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
RON;1;5,673;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
RUB;100;37,585;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
SEK;1;2,737;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
SGD;1;16,180;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
THB;100;65,729;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
TRY;1;6,269;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
USD;1;21,734;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
XDR;1;30,934;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
ZAR;1;1,641;1.10.2017 0:00:00;31.12.2999 23:59:59;31.10.2017 0:00:00;
