01 Feb 2022 #22
Country|Currency|Amount|Code|
Australia|dollar|1|AUD|15.338
Brazil|real|1|BRL|4.085
Bulgaria|lev|1|BGN|12.442
Canada|dollar|1|CAD|17.022
China|renminbi|1|CNY|3.398
Croatia|kuna|1|HRK|3.233
Denmark|krone|1|DKK|3.271
EMU|euro|1|EUR|24.335
Hongkong|dollar|1|HKD|2.773
Hungary|forint|100|HUF|6.828
Iceland|krona|100|ISK|16.923
IMF|SDR|1|XDR|30.083
India|rupee|100|INR|28.906
Indonesia|rupiah|1000|IDR|1.503
Israel|new shekel|1|ILS|6.825
Japan|yen|100|JPY|18.850
Malaysia|ringgit|1|MYR|5.164
Mexico|peso|1|MXN|1.052
New Zealand|dollar|1|NZD|14.291
Norway|krone|1|NOK|2.442
Philippines|peso|100|PHP|42.316
Poland|zloty|1|PLN|5.313
Romania|leu|1|RON|4.920
Russia|rouble|100|RUB|28.201
Singapore|dollar|1|SGD|16.012
South Africa|rand|1|ZAR|1.418
South Korea|won|100|KRW|1.798
Sweden|krona|1|SEK|2.330
Switzerland|franc|1|CHF|23.459
Thailand|baht|100|THB|65.108
Turkey|lira|1|TRY|1.616
United Kingdom|pound|1|GBP|29.146
USA|dollar|1|USD|21.615
