StartUtc,EndUtc,CreatedUtc,NightCount,NightCost_Sum,OccupiedSpace_Sum,GuestCount_Sum,LeadTime,StayLength,CancellationReason,SettlementType,ReservationState,Origin,CommanderOrigin,TravelAgency,IsOnlineCheckin,NationalityCode,Gender,Classification,AgeGroup,HasEmail,EnterpriseTimeZone,BusinessSegment,Tier,RateId
2019-08-21 13:00:00.0000000,2019-08-22 10:00:00.0000000,2019-08-19 17:57:51.7534631,2,363.102983040000,4,4,2,1,NULL,0,3,1,NULL,Booking.com,0,SK,1,0,45,1,2,OTAs,1,C0595866-7641-424E-9C53-B2FF82C366F9
2019-08-30 13:00:00.0000000,2019-08-31 10:00:00.0000000,2019-08-25 11:35:21.7021750,1,313.932787420000,0,1,5,1,10,0,4,1,NULL,Mr & Mrs Smith,0,AS,1,0,0,1,2,OTA Netto,1,C0595866-7641-424E-9C53-B2FF82C366F9
2019-08-14 10:13:59.0881903,2019-08-16 10:00:00.0000000,2019-08-02 17:51:21.7278179,2,540.910746950000,4,4,12,2,NULL,0,3,1,NULL,Booking.com,1,SA,1,0,25,1,2,OTAs,1,C0595866-7641-424E-9C53-B2FF82C366F9
2019-08-26 13:00:00.0000000,2019-08-28 10:00:00.0000000,2019-08-21 11:29:11.8259749,2,504.129588060000,0,4,5,2,10,0,4,1,NULL,Booking.com,0,ES,1,0,0,1,2,OTAs,1,C0595866-7641-424E-9C53-B2FF82C366F9
2019-08-22 13:00:00.0000000,2019-08-25 08:30:48.2207108,2019-08-20 15:31:25.4827323,3,533.191720950000,9,9,2,3,NULL,1,3,1,NULL,Booking.com,0,IT,1,0,45,1,2,OTAs,1,7D843D4A-C386-4293-A80A-9A56504EF4C3
2019-08-27 13:00:00.0000000,2019-08-29 10:00:00.0000000,2019-08-19 15:39:29.0455473,2,487.996823720000,6,4,8,2,NULL,0,3,1,NULL,Expedia GB,1,US,1,0,55,1,2,OTA Netto,1,C0595866-7641-424E-9C53-B2FF82C366F9
2019-08-05 08:44:21.8555910,2019-08-07 04:31:37.4397497,2019-08-04 10:07:11.6345518,2,194.056313640000,4,2,1,2,NULL,1,3,2,4,NULL,0,CA,2,32,35,1,2,Leisure,1,5CDDFCD3-F5B9-4C21-93AF-F6219B407A7B
2019-08-07 13:00:00.0000000,2019-08-10 10:00:00.0000000,2019-08-06 22:45:14.1323404,3,501.659499740000,6,6,0,3,NULL,1,3,1,NULL,Booking.com,0,DE,1,0,0,1,2,OTAs,1,7D843D4A-C386-4293-A80A-9A56504EF4C3
2019-08-05 13:00:00.0000000,2019-08-07 06:36:08.9424613,2019-08-01 14:06:17.3345795,2,158.934745340000,4,2,4,2,NULL,0,3,2,4,NULL,0,GB,2,32,35,1,2,Direct Business,1,C0595866-7641-424E-9C53-B2FF82C366F9
2019-08-26 13:00:00.0000000,2019-08-28 10:00:00.0000000,2019-08-13 11:37:09.6212815,2,293.940000000000,0,4,13,2,10,0,4,1,NULL,Expedia GB,0,NULL,1,0,0,1,2,OTA Netto,1,C0595866-7641-424E-9C53-B2FF82C366F9
2019-08-27 13:00:00.0000000,2019-08-28 08:24:40.4375435,2019-08-27 10:16:33.1804810,1,207.448823750000,3,2,0,1,NULL,0,3,1,NULL,Booking.com,0,SK,1,0,45,0,2,OTAs,1,C0595866-7641-424E-9C53-B2FF82C366F9
2019-08-07 12:08:43.3644699,2019-08-10 10:00:00.0000000,2019-08-06 03:33:12.7653627,3,1112.581812510000,6,3,1,3,NULL,0,3,1,NULL,Booking.com,0,SA,1,32,25,1,2,OTAs,1,C0595866-7641-424E-9C53-B2FF82C366F9
