,StartUtc,EndUtc,CreatedUtc,NightCount,NightCost_Sum,OccupiedSpace_Sum,GuestCount_Sum,LeadTime,StayLength,CancellationReason,SettlementType_x,ReservationState,Origin,CommanderOrigin,TravelAgency,IsOnlineCheckin,NationalityCode,Gender,Classification,AgeGroup,HasEmail,EnterpriseTimeZone,BusinessSegment,Tier,RateId,RateName,ShortRateName,SettlementAction,SettlementTrigger,SettlementValue,SettlementType_y
0,2019-08-21 13:00:00.0000000,2019-08-22 10:00:00.0000000,2019-08-19 17:57:51.7534631,2,363.10298304,4,4,2,1,,0,3,1,,Booking.com,0,SK,1,0,45,1,2,OTAs,1,C0595866-7641-424E-9C53-B2FF82C366F9,Fully Flexible,FF,0,2,1.0,0
1,2019-08-30 13:00:00.0000000,2019-08-31 10:00:00.0000000,2019-08-25 11:35:21.7021750,1,313.93278742,0,1,5,1,10.0,0,4,1,,Mr & Mrs Smith,0,AS,1,0,0,1,2,OTA Netto,1,C0595866-7641-424E-9C53-B2FF82C366F9,Fully Flexible,FF,0,2,1.0,0
2,2019-08-14 10:13:59.0881903,2019-08-16 10:00:00.0000000,2019-08-02 17:51:21.7278179,2,540.91074695,4,4,12,2,,0,3,1,,Booking.com,1,SA,1,0,25,1,2,OTAs,1,C0595866-7641-424E-9C53-B2FF82C366F9,Fully Flexible,FF,0,2,1.0,0
3,2019-08-26 13:00:00.0000000,2019-08-28 10:00:00.0000000,2019-08-21 11:29:11.8259749,2,504.12958806,0,4,5,2,10.0,0,4,1,,Booking.com,0,ES,1,0,0,1,2,OTAs,1,C0595866-7641-424E-9C53-B2FF82C366F9,Fully Flexible,FF,0,2,1.0,0
4,2019-08-27 13:00:00.0000000,2019-08-29 10:00:00.0000000,2019-08-19 15:39:29.0455473,2,487.99682372,6,4,8,2,,0,3,1,,Expedia GB,1,US,1,0,55,1,2,OTA Netto,1,C0595866-7641-424E-9C53-B2FF82C366F9,Fully Flexible,FF,0,2,1.0,0
5,2019-08-05 13:00:00.0000000,2019-08-07 06:36:08.9424613,2019-08-01 14:06:17.3345795,2,158.93474534,4,2,4,2,,0,3,2,4.0,,0,GB,2,32,35,1,2,Direct Business,1,C0595866-7641-424E-9C53-B2FF82C366F9,Fully Flexible,FF,0,2,1.0,0
6,2019-08-26 13:00:00.0000000,2019-08-28 10:00:00.0000000,2019-08-13 11:37:09.6212815,2,293.94,0,4,13,2,10.0,0,4,1,,Expedia GB,0,,1,0,0,1,2,OTA Netto,1,C0595866-7641-424E-9C53-B2FF82C366F9,Fully Flexible,FF,0,2,1.0,0
7,2019-08-27 13:00:00.0000000,2019-08-28 08:24:40.4375435,2019-08-27 10:16:33.1804810,1,207.44882375,3,2,0,1,,0,3,1,,Booking.com,0,SK,1,0,45,0,2,OTAs,1,C0595866-7641-424E-9C53-B2FF82C366F9,Fully Flexible,FF,0,2,1.0,0
8,2019-08-07 12:08:43.3644699,2019-08-10 10:00:00.0000000,2019-08-06 03:33:12.7653627,3,1112.58181251,6,3,1,3,,0,3,1,,Booking.com,0,SA,1,32,25,1,2,OTAs,1,C0595866-7641-424E-9C53-B2FF82C366F9,Fully Flexible,FF,0,2,1.0,0
9,2019-08-20 13:00:00.0000000,2019-08-21 08:12:41.8712213,2019-08-20 14:03:18.2352944,1,238.74947418,3,2,0,1,,0,3,1,,Booking.com,0,DE,2,0,45,1,2,OTAs,1,C0595866-7641-424E-9C53-B2FF82C366F9,Fully Flexible,FF,0,2,1.0,0
10,2019-08-25 13:00:00.0000000,2019-08-26 10:00:00.0000000,2019-08-08 18:45:13.2503298,1,218.49,0,1,17,1,10.0,0,4,1,,Booking.com,0,,1,0,0,1,2,OTAs,1,C0595866-7641-424E-9C53-B2FF82C366F9,Fully Flexible,FF,0,2,1.0,0
11,2019-08-13 13:00:00.0000000,2019-08-15 07:11:54.7644990,2019-08-13 13:41:09.0032973,2,374.14119022,4,4,0,2,,0,3,1,,Booking.com,0,FR,1,0,45,1,2,OTAs,1,C0595866-7641-424E-9C53-B2FF82C366F9,Fully Flexible,FF,0,2,1.0,0
12,2019-08-24 13:00:00.0000000,2019-08-25 10:00:00.0000000,2019-08-17 12:23:35.1070341,1,215.82396696,0,1,7,1,10.0,0,4,1,,Booking.com,0,DE,1,0,0,1,2,OTAs,1,C0595866-7641-424E-9C53-B2FF82C366F9,Fully Flexible,FF,0,2,1.0,0
13,2019-08-20 13:00:00.0000000,2019-08-22 05:41:46.3214599,2019-08-19 09:35:06.9351077,2,561.52054637,4,2,1,2,,0,3,1,,Expedia GB,0,AT,1,0,35,1,2,OTA Netto,1,C0595866-7641-424E-9C53-B2FF82C366F9,Fully Flexible,FF,0,2,1.0,0
